sep=,
"ID","Title","Assigned To","Case ID","Comment","Defects","Elapsed","Estimate","Forecast","In Progress","Plan","Plan ID","Priority","References","Run","Run Configuration","Run ID","Section","Section Depth","Section Description","Status","Tested By","Tested On","Type","Version"
"T55265","Проверка внешнего вида кнопок: размеры и расположение/UI testing","nikitra123@gmail.com","C3161","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Usability",""
"T55274","Проверка работоспособности кнопок","nikitra123@gmail.com","C3162","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Functional",""
"T55283","Проверка копирования программы","nikitra123@gmail.com","C3163","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Functional",""
"T55332","Проверка множественного копирования файлов","nikitra123@gmail.com","C3165","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Functional",""
"T55341","Проверка возможности копирования скрытых файлов","nikitra123@gmail.com","C3166","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Functional",""
"T55350","Проверка отправки архива ZIP.","nikitra123@gmail.com","C3167","","","","","","","","","High","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Functional",""
"T55485","Проверка копирования открытого неизменяемого файла.","nikitra123@gmail.com","C3182","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Functional",""
"T55494","Проверка копирования открытого изменяемого файла.","nikitra123@gmail.com","C3183","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Functional",""
"T55503","Проверка копирования ярлыка.","nikitra123@gmail.com","C3184","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Functional",""
"T55512","Проверка отправки на другой диск, отличный от места нахождения изначальной папки.","nikitra123@gmail.com","C3185","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Functional",""
"T55530","Проверка вместимости файлов для единовременного копирования","nikitra123@gmail.com","C3187","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Destructive",""
"T55539","Проверка отправки файлов размером 0 кб.","nikitra123@gmail.com","C3188","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Functional",""
"T55548","Проверка отправки файлов размером от 1 кб до 1 гб.","nikitra123@gmail.com","C3189","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Functional",""
"T55557","Проверка отправки файлов размером более 1 гб.","nikitra123@gmail.com","C3190","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Functional",""
"T55566","Проверка копирования при выборе нескольких файлов.","nikitra123@gmail.com","C3191","","","","","","","","","Critical","","Тест ран HardLoad Gudim","","R397","HardLoad tests","1","","Untested","","","Functional",""
"T56688","Очистка экрана","nikitra123@gmail.com","C3280","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T56699","Изменение знака числа - 1","nikitra123@gmail.com","C3281","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T56710","Изменение знака числа - 2","nikitra123@gmail.com","C3282","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T56721","Изменение знака числа - 3","nikitra123@gmail.com","C3283","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T56732","Изменение знака числа - 4","nikitra123@gmail.com","C3284","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57752","Вычисление квадратного корня - 1","nikitra123@gmail.com","C3379","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57764","Вычисление квадратного корня - 2","nikitra123@gmail.com","C3380","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57776","Вычисление квадратного корня - 3","nikitra123@gmail.com","C3381","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57788","Вычисление квадратного корня - 4","nikitra123@gmail.com","C3382","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57800","Вычисление квадратного корня - 5","nikitra123@gmail.com","C3383","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57812","Вычисление квадратного корня - 6","nikitra123@gmail.com","C3384","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57824","Операции с 100% - 1","nikitra123@gmail.com","C3385","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57836","Операции с 100% - 2","nikitra123@gmail.com","C3386","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57848","Операции с 100% - 3","nikitra123@gmail.com","C3387","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57860","Операции с 100% - 4","nikitra123@gmail.com","C3388","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57872","Операции с 0% - 5","nikitra123@gmail.com","C3389","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57884","Операции с 0% - 6","nikitra123@gmail.com","C3390","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57896","Операции с 0% - 7","nikitra123@gmail.com","C3391","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57908","Операции с 0% - 8","nikitra123@gmail.com","C3392","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57920","Операция сложения 1","nikitra123@gmail.com","C3393","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57932","Операция сложения 2","nikitra123@gmail.com","C3394","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57944","Операция сложения 3","nikitra123@gmail.com","C3395","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57956","Операция сложения 4","nikitra123@gmail.com","C3396","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57968","Операция сложения 5","nikitra123@gmail.com","C3397","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57980","Операция вычитания 1","nikitra123@gmail.com","C3398","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T57992","Операция вычитания 2","nikitra123@gmail.com","C3399","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T58004","Операция вычитания 3","nikitra123@gmail.com","C3400","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","Calculator","1","","Untested","","","Other",""
"T55114","копирование файла","nikitra123@gmail.com","C3130","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","func","1","","Untested","","","Functional",""
"T55123","удаление файла из списка","nikitra123@gmail.com","C3131","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","func","1","","Untested","","","Functional",""
"T55141","выбор конечной папки для копирования","nikitra123@gmail.com","C3133","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","func","1","","Untested","","","Other",""
"T55150","остановка копирования","nikitra123@gmail.com","C3134","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","func","1","","Untested","","","Other",""
"T55186","копирование файла с 50 символами в названии","nikitra123@gmail.com","C3138","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","func","1","","Untested","","","Other",""
"T55204","копирование файлов из папок защищенных паролем","nikitra123@gmail.com","C3140","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","func","1","","Untested","","","Other",""
"T55195","проверка табуляции","nikitra123@gmail.com","C3139","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","nofunc","1","","Untested","","","Other",""
"T55213","расположение кнопок","nikitra123@gmail.com","C3141","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","nofunc","1","","Untested","","","Other",""
"T55222","размер кнопок","nikitra123@gmail.com","C3142","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","nofunc","1","","Untested","","","Other",""
"T55159","копирование 50 файлов","nikitra123@gmail.com","C3135","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","perf","1","","Untested","","","Other",""
"T55168","удаление 50 файлов","nikitra123@gmail.com","C3136","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","perf","1","","Untested","","","Other",""
"T55177","копирование файла 50гб","nikitra123@gmail.com","C3137","","","","","","","","","Medium","","Тест ран HardLoad Gudim","","R397","perf","1","","Untested","","","Other",""
